Math,,,,
,Basic Counting,,,
,,Number Names and Identification,,
,,Counting and Cardinality,,
,Operations,,,
,,Basic Operations,,
,,,Addition and Subtraction,
,,,Multiplication and Division,
,,,Factors and Multiples,
,,,Patterns and Relationships,
,,,Numerical Expressions,
,,Emerging Operations,,
,,,Base Ten,
,,,,Place Value
,,,,Decimals
,,,Fractions,
,,,,Adding and Subtracting Fractions
,,,,Multiplying and Dividing Fractions
,,,,Equivalence and Ordering
,,,,Decimal Notation
,Measurement and Data,,,
,,Measure Lengths,,
,,Time and Money,,
,,Represent and Interpret Data,,
,,Estimations,,
,,Area and Perimeter,,
,,Angles,,
,Geometry,,,
,,"Lines, Angles, and Shapes",,
,,,"Acute, Obtuse, and Right Angles",
,,,Circles and Spheres,
,,,Triangles,
,,,"Squares, Rectangles, and Cubes",
,,,Irregular Shapes,
,,"Graphing Points, Coordinates",,
,,Congruence and Similarity,,
,,"Area, Surface Area, and Volume",,
,,Pythagorean Theorem,,
,,Circles,,
,,Measurment and Dimension,,
,,,,
,Ratios and Proportions,,,
,,Unit Rates,,
,,Ratios and Rates,,
,,Ratios of Fractions,,
,,Proportional Relationships,,
,Number System,,,
,,Dividing Fractions,,
,,Multi-Digit Numbers and Decimals,,
,,Factors,,
,,Positive and Negative Numbers,,
,,Number Lines and Coordinates,,
,,Number Orders,,
,,Absolute Value,,
,,Distributive Property,,
,Expressions and Equations,,,
,,Equations and Inequalities,,
,,Dependent and Independent Variables,,
,,Algebraic Expressions,,
,,Equivalent Expressions,,
,,Radicals and Exponents,,
,,Linear Equations,,
,Functions,,,
,,Interpreting and Building Functions,,
,,Linear Models,,
,,Quadratic Models,,
,,Exponential Models,,
,,Trigonometric Models,,
,Statistics and Probability,,,
,,Statistical Variability,,
,,Distributions,,
,,Random Sampling,,
,,Comparative Inferences,,
,,Probablility Models,,
,,Patterns and Bivariate Data,,
,,Categorical and Quantitative Data,,
,,Probability,,
,Algebra,,,
,,Real Numbers,,
,,Square Roots and Irrational Numbers,,
,,Structure in Expressions,,
,,Polynomials and Factoring,,
,,Rational Expressions,,
,,Equations and Inequalities,,
,,,Creating Equations,
,,,Linear Equations and Inequalities,
,,,Quadratic Equations and Functions,
,,,Exponential Equations and Fucntions,
,,Graphs and Functions,,
,,Matrices,,
,Trigonometry,,,
,,Trigonometric Fuctions,,
,,Trigonometric Equations,,
,,Triangles and Vectors,,
,,Polar System,,
,,Complex Numbers,,
,Calculus,,,
,,"Functions, Models, and Graphs",,
,,Derivatives and Applications,,
,,Integrals and Applications,,
,,Conics and Curves,,
,,Sequences and Series,,
,,Vectors and Planes,,
